longitude,latitude,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.825189539,51.5578498,320,4854PN007.01,Clubhuis Voetbalvereniging Bavel,Bavelse Hei,7,,,4854 PN,Bavel,BUI - Voetbal,
4.749605051,51.594278,321,4815NC003.08,Stadion onderbouw zuid,Stadionstraat,7,,,4815 NC,Breda,BUI - Voetbal,
4.80950967,51.58295467,322,4817NK017.01,Clubhuis hockeyvereniging Push,Nieuwe Inslag,97,,,4817 GN,Breda,BUI - Hockey,
4.797459478,51.55630846,323,4851AT003.01,Woning,Jeugdland,3,,,4851 AT,Ulvenhout,BIN - Sporthal,
4.810416675,51.58588844,324,4817GN004.02,Clubhuis Honk- en Softbal Club Jeka,Langveld,6,,,4817 GN,Breda,BUI - Honkbal,
4.703912478,51.6218717,325,4841KG016.01,Paviljoen Zwembad De Kuil,Weimersedreef,16,A,,4841 KG,Prinsenbeek,BUI - Zwemmen,
4.775394746,51.57520078,327,4819BD130.03,Kleedkamers Tennisvereniging Markant,Cimburgalaan,130,,,4819 BD,Breda,BUI - Tennis,
4.698300136,51.61786476,328,4841KG019.01,Woning,Weimersedreef,15,,,4841 KG,Prinsenbeek,BUI - Overig,
4.730031648,51.6151515,329,4822RK080.04,Kleedkamers HV United Breda,Ganzerik,84,,,4822 RK,Breda,BUI - Handbal,
4.701629406,51.60858198,330,4841KR037.00, Ponyvereniging Ons Genoegen,Brielsedreef,37,A,,4841 KR,Prinsenbeek,BUI - Paardensport,
4.738634499,51.60489331,331,4824SG060.02,Gymzaal Wandelakker,Wandelakker,64,,,4824 SG,Breda,BIN - Gymzaal,
4.750860883,51.52254666,332,4836MC020.04,EHBO-post Galderse meren,Rijsbergsebaan,22,,,4836 MC,Breda,BUI - Zwemmen,
4.749770095,51.59516547,333,4815NC003.01,Rat Verleghstadion,Stadionstraat,3,,,4815 NC,Breda,BUI - Voetbal,
4.751017887,51.52227449,334,4836MC020.02,Toiletgebouw Galderse meren,Rijsbergsebaan,20,,,4836 MC,Breda,BUI - Zwemmen,
4.749885811,51.62663498,335,4823ZK000.03,Beheeerdersgebouw Asterdplas,Rietdijk,10,,,4823 ZK,Breda,BUI - Zwemmen,
4.774411097,51.57663315,336,4819BD130.04,Berging Tennisvereniging Markant,Cimburgalaan,130,,,4819 BD,Breda,BUI - Tennis,
4.730221832,51.61670283,337,4822RK001.01,Sporthal Haagse Beemden,Ganzerik,1,,,4822 RK,Breda,BIN - Sporthal,
